state,age,gender,exercise_regime,purchase_history,mode_of_travel,music_choice
DC,25-31,Female,Keep fit through jogging or gym.,"Gardening supplies, Theater tickets",Walk or bike,Classical music
Virginia,56-61,Male,Keep fit through jogging or gym.,"Gardening supplies, Dog food / cat food",Train,Classical music
Maryland,32-38,Female,Keep fit through jogging or gym.,"Gardening supplies, Bluetooth speaker, Dog food / cat food, Yoga mat, Presents for my kids",Train,Classical music
Virginia,39-45,Female,Keep fit through jogging or gym.,"Gardening supplies, Bluetooth speaker, Dog food / cat food, Yoga mat, Presents for my kids, Theater tickets",Car,Heavy metal / rock
Maryland,32-38,Female,Netflix is my most strenuous exercise.,"Gardening supplies, Bluetooth speaker, Theater tickets",Train,Heavy metal / rock
Virginia,32-38,Female,Keep fit through jogging or gym.,"Bluetooth speaker, Presents for my kids, Theater tickets",Train,Heavy metal / rock
DC,32-38,Male,Keep fit through jogging or gym.,"Gardening supplies, Bluetooth speaker, Dog food / cat food, Presents for my kids",Car,Classical music
DC,56-61,Male,Netflix is my most strenuous exercise.,"Gardening supplies, Bluetooth speaker, Presents for my kids",Car,Heavy metal / rock
DC,32-38,Male,Keep fit through jogging or gym.,"Gardening supplies, Bluetooth speaker, Theater tickets",Walk or bike,Heavy metal / rock
Maryland,39-45,Female,Keep fit through jogging or gym.,"Yoga mat, Presents for my kids",Car,Classical music
Maryland,39-45,Female,Keep fit through jogging or gym.,"Yoga mat, Presents for my kids",Car,Classical music
DC,52-56,Female,Netflix is my most strenuous exercise.,"Gardening supplies, Dog food / cat food, Presents for my kids, Theater tickets",Car,Heavy metal / rock
Maryland,52-56,Female,Keep fit through jogging or gym.,"Gardening supplies, Dog food / cat food, Presents for my kids",Train,Classical music
DC,32-38,Female,Netflix is my most strenuous exercise.,"Gardening supplies, Bluetooth speaker, Theater tickets",Walk or bike,Classical music
DC,32-38,Male,Netflix is my most strenuous exercise.,Dog food / cat food,Train,Classical music
DC,39-45,Male,Netflix is my most strenuous exercise.,Presents for my kids,Car,Classical music
Maryland,46-52,Female,Keep fit through jogging or gym.,"Gardening supplies, Presents for my kids, Theater tickets",Car,Classical music
Maryland,56-61,Male,Keep fit through jogging or gym.,"Presents for my kids, Theater tickets",Car,Classical music
Virginia,56-61,Female,Netflix is my most strenuous exercise.,"Dog food / cat food, Presents for my kids",Car,Classical music
DC,32-38,Female,Netflix is my most strenuous exercise.,"Gardening supplies, Bluetooth speaker, Theater tickets",Car,Classical music
Virginia,56-61,Male,Keep fit through jogging or gym.,Theater tickets,Train,Classical music
