State_code,State,Muni_code,Municipality,Income
1,Aguascalientes,1001,Aguascalientes,3530
1,Aguascalientes,1002,Asientos,1360
1,Aguascalientes,1003,Calvillo,1733
1,Aguascalientes,1004,Cosío,1804
1,Aguascalientes,1005,Jesús María,2404
1,Aguascalientes,1006,Pabellón de Arteaga,2483
1,Aguascalientes,1007,Rincón de Romos,2157
1,Aguascalientes,1008,San José de Gracia,1831
1,Aguascalientes,1009,Tepezalá,1634
1,Aguascalientes,1010,El Llano,1499
1,Aguascalientes,1011,San Francisco de los Romo,2232
2,Baja California,2001,Ensenada,3238
2,Baja California,2002,Mexicali,3611
2,Baja California,2003,Tecate,4384
2,Baja California,2004,Tijuana,3663
2,Baja California,2005,Playas de Rosarito,3665
3,Baja California Sur,3001,Comondú,2722
3,Baja California Sur,3002,Mulegé,2665
3,Baja California Sur,3003,La Paz,4326
3,Baja California Sur,3008,Los Cabos,4622
3,Baja California Sur,3009,Loreto,2727
4,Campeche,4001,Calkiní,2114
4,Campeche,4002,Campeche,3386
4,Campeche,4003,Carmen,3669
4,Campeche,4004,Champotón,1681
4,Campeche,4005,Hecelchakán,2045
4,Campeche,4006,Hopelchén,1243
4,Campeche,4007,Palizada,1669
4,Campeche,4008,Tenabo,1879
4,Campeche,4009,Escárcega,1456
4,Campeche,4010,Calakmul,787
4,Campeche,4011,Candelaria,1081
5,Coahuila,5001,Abasolo,2092
5,Coahuila,5002,Acuña,2927
5,Coahuila,5003,Allende,3795
5,Coahuila,5004,Arteaga,1591
5,Coahuila,5005,Candela,1695
5,Coahuila,5006,Castaños,2565
5,Coahuila,5007,Cuatro Ciénegas,2234
5,Coahuila,5008,Escobedo,1635
5,Coahuila,5009,Francisco I. Madero,2118
5,Coahuila,5010,Frontera,2840
5,Coahuila,5011,General Cepeda,1812
5,Coahuila,5012,Guerrero,1991
5,Coahuila,5013,Hidalgo,1659
5,Coahuila,5014,Jiménez,1698
5,Coahuila,5015,Juárez,1559
5,Coahuila,5016,Lamadrid,2051
5,Coahuila,5017,Matamoros,2277
5,Coahuila,5018,Monclova,3791
5,Coahuila,5019,Morelos,2756
5,Coahuila,5020,Múzquiz,2539
5,Coahuila,5021,Nadadores,2358
5,Coahuila,5022,Nava,2541
5,Coahuila,5023,Ocampo,1743
5,Coahuila,5024,Parras,2449
5,Coahuila,5025,Piedras Negras,3337
5,Coahuila,5026,Progreso,1915
5,Coahuila,5027,Ramos Arizpe,3316
5,Coahuila,5028,Sabinas,3306
5,Coahuila,5029,Sacramento,2249
5,Coahuila,5030,Saltillo,3768
5,Coahuila,5031,San Buenaventura,3233
5,Coahuila,5032,San Juan de Sabinas,3493
5,Coahuila,5033,San Pedro,1895
5,Coahuila,5034,Sierra Mojada,2209
5,Coahuila,5035,Torreón,3595
5,Coahuila,5036,Viesca,1569
5,Coahuila,5037,Villa Unión,2230
5,Coahuila,5038,Zaragoza,2482
6,Colima,6001,Armería,2610
6,Colima,6002,Colima,4237
6,Colima,6003,Comala,1900
6,Colima,6004,Coquimatlán,2096
6,Colima,6005,Cuauhtémoc,3049
6,Colima,6006,Ixtlahuacán,1938
6,Colima,6007,Manzanillo,3704
6,Colima,6008,Minatitlán,2044
6,Colima,6009,Tecomán,2265
6,Colima,6010,Villa de Álvarez,4554
